"Timestamp","Album_Title","Item_Count","Href","Status","Note"
"2026-09-13 09:24:59","정세라 핸드폰 사진\우리연애사진","항목 115개","/album/AF1QipOrq_7IHakD_WJkbljqb9RFzmP9k3MkNev7lMST","SUCCESS","Confirm delete button in dialog not found"
"2026-09-13 09:25:13","정세라 핸드폰 사진\아이폰X_2019~2021.11\202102_e","항목 19개","/album/AF1QipNox67pbHuZ3NA466CqcxHMGcBK8E16soeVOQWW","SUCCESS","Delete album menuitem not found"
"2026-09-13 09:25:21","정세라 핸드폰 사진\아이폰X_2019~2021.11\202101_a","항목 49개","/album/AF1QipO0v-w5useU-BTBjm1DHrnwr3RAEcwyoeuI-dJz","SUCCESS",""
"2026-09-13 09:25:27","정세라 핸드폰 사진\우리연애사진","항목 1299개","/album/AF1QipO7K53hWeO6SJBzavul42Mnz3sw9h3JIJFuN6Mb","SUCCESS",""
"2026-09-13 09:25:41","정세라 핸드폰 사진\우리연애사진\샘플링","항목 31개","/album/AF1QipOipA9EROTWm_-JCGAtwCPH3FpLGcOTKRV3yg2j","SUCCESS","Confirm delete button in dialog not found"
"2026-09-13 09:25:55","정세라 핸드폰 사진\우리연애사진\샘플링","항목 50개","/album/AF1QipPCNBaKbJQomWmjbo3iBAVwsWVe28Gj9kHdsTP3","SUCCESS","Confirm delete button in dialog not found"
"2026-09-13 09:26:11","정세라 핸드폰 사진\아이폰X_2019~2021.11\202106__","항목 362개","/album/AF1QipOaNjlNqER1EXYU_U3icZkZoGS9R8zcEnwhP43E","SUCCESS",""
"2026-09-13 09:26:25","정세라 핸드폰 사진\아이폰X_2019~2021.11\202107__","항목 194개","/album/AF1QipP7wUrMIRaUoT81FBPJlg4VLORdb7F0oqvyLoM0","SUCCESS","Confirm delete button in dialog not found"
"2026-09-13 09:26:43","정세라 핸드폰 사진\아이폰X_2019~2021.11\202106_a","항목 162개","/album/AF1QipMr0wdjh2sjO8hWaTTJsg6VoklKEQ_EhzXBY-AT","SUCCESS","Confirm delete button in dialog not found"
"2026-09-13 09:26:50","정세라 핸드폰 사진\아이폰X_2019~2021.11\202106__","항목 50개","/album/AF1QipOQDF-_vh5TyURq-BqLpqpmwYv1nBJweiL563gu","SUCCESS",""
"2026-09-13 09:27:04","정세라 핸드폰 사진\아이폰X_2019~2021.11\202105_e","항목 322개","/album/AF1QipO1LIQxlIx9yCxk9bybJJOPz2PVmBXbUuSETqNe","SUCCESS","Confirm delete button in dialog not found"
"2026-09-13 09:27:11","정세라 핸드폰 사진\아이폰X_2019~2021.11\202105_e","항목 100개","/album/AF1QipMk3iIzxzSoOBsWNcPDyTkVmWf5Rbn8bP2wt7gB","SUCCESS",""
"2026-09-13 09:27:33","정세라 핸드폰 사진\아이폰X_2019~2021.11\202105__","항목 192개","/album/AF1QipN5JJtf2uyHTHEODTaKOcTQW4fuT2OedxAz6cJ0","SUCCESS","Confirm delete button in dialog not found"
"2026-09-13 09:27:42","정세라 핸드폰 사진\아이폰X_2019~2021.11\202105_a","항목 12개","/album/AF1QipMvFZw_IU9LVjIwYCWsYfkyVm9DjqA9ICTIAaxP","SUCCESS",""
"2026-09-13 09:27:44","정세라 핸드폰 사진\아이폰X_2019~2021.11\202105_b","항목 1개","/album/AF1QipND8za7NXgzbrgUCPSatFfFAodY9clG0vDqU7Sn","ALREADY_DELETED","Already deleted / 404"
"2026-09-13 09:27:50","정세라 핸드폰 사진\아이폰X_2019~2021.11\202105_c","항목 1개","/album/AF1QipMJI92KSbpAX9aHLsLWndF_M4WUEF-iFCBlkJ9g","SUCCESS",""
"2026-09-13 09:27:56","정세라 핸드폰 사진\아이폰X_2019~2021.11\202105_d","항목 1개","/album/AF1QipNVu-RsiLTi-nYUQ2Vkiva-mzFclUPiBJql9bvY","SUCCESS",""
"2026-09-13 09:28:04","정세라 핸드폰 사진\아이폰X_2019~2021.11\202104__","항목 642개","/album/AF1QipOfnfp4R8MBH9aPRzE8OnmjvadJwncdoezQzFEr","SUCCESS",""
"2026-09-13 09:28:17","정세라 핸드폰 사진\아이폰X_2019~2021.11\202103_g","항목 74개","/album/AF1QipMBI4Trr8QEEBtgw6Txso3JPxlAZsjJKfEURATE","SUCCESS","Confirm delete button in dialog not found"
"2026-09-13 09:28:23","정세라 핸드폰 사진\아이폰X_2019~2021.11\202103_f","항목 90개","/album/AF1QipPGV7m3jGeCxcRdJ4gzaXxrqzFvZwK0NsYejMrQ","SUCCESS",""
"2026-09-13 09:28:31","정세라 핸드폰 사진\아이폰X_2019~2021.11\202103_d","항목 9개","/album/AF1QipO1hKldd42c9UtTmO9ftC7e6fmL4JoAxr61sjF7","SUCCESS",""
"2026-09-13 09:28:48","정세라 핸드폰 사진\아이폰X_2019~2021.11\202103_h","항목 221개","/album/AF1QipMOPKKkgAaAm0psiAxe2_9flb49S4MqOfm-LAMr","SUCCESS","Confirm delete button in dialog not found"
"2026-09-13 09:28:55","정세라 핸드폰 사진\아이폰X_2019~2021.11\202103_e","항목 50개","/album/AF1QipPqO-0m2S81DD2fyQebcRpD-LH1UYpJdFI_8_nA","SUCCESS",""
"2026-09-13 09:29:02","정세라 핸드폰 사진\아이폰X_2019~2021.11\202102_h","항목 143개","/album/AF1QipNsbeQWg8iOmNBh0m62J_MW6urf738CxeBUUGiX","SUCCESS",""
"2026-09-13 09:29:09","정세라 핸드폰 사진\아이폰X_2019~2021.11\202102_g","항목 71개","/album/AF1QipPDd7oNX5jEdn3g6T2MLo7fpjou9ukif571rvzw","SUCCESS",""
"2026-09-13 09:29:19","정세라 핸드폰 사진\아이폰X_2019~2021.11\202102_f","항목 232개","/album/AF1QipOc4qC_oiXVFkiGWwlWO70DEwyFyOkGqqsOAKko","SUCCESS","Page.goto: net::ERR_ABORTED at https://photos.google.com/album/AF1QipOc4qC_oiXVFkiGWwlWO70DEwyFyOkGq"
"2026-09-13 09:29:26","정세라 핸드폰 사진\아이폰X_2019~2021.11\202102_d","항목 8개","/album/AF1QipNRJeOW8SVU6r3R2zCQ5qBX4HEmz3crJcc-3HOX","SUCCESS",""
"2026-09-13 09:29:39","정세라 핸드폰 사진\아이폰X_2019~2021.11\202101_b","항목 184개","/album/AF1QipPdgWRFO5JAUJl9QMZnaUFPebCiDNQ7e85SvO3p","SUCCESS","Delete album menuitem not found"
"2026-09-13 09:29:46","정세라 핸드폰 사진\아이폰X_2019~2021.11\202101_a","항목 87개","/album/AF1QipMwaEHuo3vbfqb_mRdeM9N5nBSDBVUt62WOPkzs","SUCCESS",""
"2026-09-13 09:29:52","정세라 핸드폰 사진\아이폰X_2019~2021.11\202012_f","항목 145개","/album/AF1QipNKuAdIDTEqDJvrdF_VoO1PsdEnGPx6zCF87c0S","SUCCESS",""
"2026-09-13 09:30:01","정세라 핸드폰 사진\아이폰X_2019~2021.11\202101_b","항목 48개","/album/AF1QipPYjUilAiiG6LsBqEFUvrdb72WBeLhcTqnaxxQl","SUCCESS",""
"2026-09-13 09:30:09","정세라 핸드폰 사진\아이폰X_2019~2021.11\202012_e","항목 326개","/album/AF1QipMS_4rQNYzMKVQKKNDveBnQE8HU3GjpOSSZcPsj","SUCCESS",""
"2026-09-13 09:30:16","정세라 핸드폰 사진\아이폰X_2019~2021.11\202012_e","항목 245개","/album/AF1QipOcW_iBED8JfCsFCIb6jvSPPHMj5iGTxKxl0JM8","SUCCESS",""
"2026-09-13 09:30:28","정세라 핸드폰 사진\아이폰X_2019~2021.11\202012_d","항목 77개","/album/AF1QipNi1a0x83ggAg_BrJ1tw1GENXd_-AuuN837bDwM","SUCCESS",""
"2026-09-13 09:31:00","정세라 핸드폰 사진\아이폰X_2019~2021.11\202012_c","항목 290개","/album/AF1QipPezq4MtyhjAgMTb0lqfQaNqBVKqU3_LOaVp5Rm","SUCCESS","Delete album menuitem not found"
"2026-09-13 09:31:08","정세라 핸드폰 사진\아이폰X_2019~2021.11\202011_f","항목 19개","/album/AF1QipO-aFEkIq4n9YWIEFmVllz1c9zUfFP4MFsDZgdS","SUCCESS",""
"2026-09-13 09:31:29","정세라 핸드폰 사진\아이폰X_2019~2021.11\202011_e","항목 469개","/album/AF1QipMlMOrLVTGgTJlxT7PTHk3YDqhNvf0xEfcnmz9s","SUCCESS","Confirm delete button in dialog not found"
"2026-09-13 09:31:36","정세라 핸드폰 사진\아이폰X_2019~2021.11\202011_d","항목 207개","/album/AF1QipMU-BFxDtZUQLhpKqkZN-xGhy-iR5MPG9MI4QER","SUCCESS",""
"2026-09-13 09:31:44","정세라 핸드폰 사진\아이폰X_2019~2021.11\202011_c","항목 187개","/album/AF1QipPB7x_pkXzWKaHNliP8-KIVdhQdoA8i-cDcQIuM","SUCCESS",""
"2026-09-13 09:31:58","정세라 핸드폰 사진\아이폰X_2019~2021.11\202010_d","항목 250개","/album/AF1QipPObPKPia7wNIwWc7SziCtITY2qZwx3fq6GbSFC","SUCCESS","Delete album menuitem not found"
"2026-09-13 09:32:06","정세라 핸드폰 사진\아이폰X_2019~2021.11\202010_c","항목 1376개","/album/AF1QipNTAuF_Wr_tiiM1a21SX69peQOQir0O6JG2evUa","SUCCESS",""
